relative_time,DecibelSource,PitchSensor
4840,53.24213762072783,
4841,,216.16536458333331
4854,,142.3095703125
4880,55.40397814027067,142.3095703125
4920,53.430002198299874,142.3095703125
4960,56.23798328837847,142.3095703125
5000,59.99979409057926,
5040,60.84784674836476,
5053,,94.68604678199405
5080,60.29079328285551,94.68604678199405
5120,58.54866769908904,94.68604678199405
5132,,124.25163212528935
5160,53.11040229864621,124.25163212528935
5200,50.72901497092629,124.25163212528935
5212,,114.5440673828125
5240,47.75474636615541,114.5440673828125
5280,47.61812865414905,114.5440673828125
5320,45.466543375113375,114.5440673828125
5326,,57.40234375
5360,44.79308882440331,57.40234375
5400,46.30929457880899,57.40234375
5413,,46.2091064453125
5414,,46.2091064453125
5440,45.11043385474693,46.2091064453125
5480,42.143698507567066,46.2091064453125
5491,,62.0458984375
5540,44.91202846160139,62.0458984375
5580,46.21228865460216,62.0458984375
5620,42.68990766143834,62.0458984375
5628,,55.0927734375
5660,45.0568952717034,55.0927734375
5700,46.453127750266304,55.0927734375
5713,,81.33610026041666
5740,42.829448253102896,81.33610026041666
5781,43.102357315400084,81.33610026041666
5820,42.761843701933486,
5860,41.40363133855762,
5866,,119.18131510416666
5900,44.725174017863765,119.18131510416666
5940,44.218193462447985,
5948,,119.18131510416666
5980,42.09639688159054,119.18131510416666
6006,,85.78450520833334
6021,45.64947418192911,85.78450520833334
6060,50.47213020879293,85.78450520833334
6067,,49.1064453125
6100,57.408524006642814,49.1064453125
6140,61.61566720365763,49.1064453125
6180,54.00537092255612,
6220,51.278432113207046,
6260,56.34355357389702,
6269,,401.0239955357143
6300,54.90370535330542,401.0239955357143
6340,57.924444392522894,401.0239955357143
6380,57.264636103056716,
6421,60.58594675360146,
6428,,57.05078125
6460,61.873508210058006,
6461,,57.05078125
6500,54.18384316635617,57.05078125
6540,61.888693898151146,
6580,70.30636200302179,
6620,68.65573493159404,
6630,,43.36216517857143
6660,56.24584874217173,43.36216517857143
6700,57.067738929215814,43.36216517857143
6740,55.979975265672095,
6800,55.05187091402376,
6813,,356.03207058376734
6840,53.92195940967752,356.03207058376734
6880,59.13280321803714,356.03207058376734
6920,59.125142123027786,356.03207058376734
6937,,295.1968625992064
6960,62.26494584741967,295.1968625992064
7000,56.75241446055757,295.1968625992064
7040,51.71790473881788,
7080,50.8107359911945,
7095,,148.544921875
7120,50.38447037685465,148.544921875
7160,48.551593118960255,148.544921875
7165,,131.93359375
7200,46.674067889274575,131.93359375
7240,54.448454643491544,131.93359375
7280,61.756440564966375,131.93359375
7292,,72.48249162946428
7320,59.846213271390205,72.48249162946428
7360,59.423138263253875,72.48249162946428
7400,57.423100569192364,
7440,55.29264414076572,
7454,,124.63028971354166
7480,50.75574372759811,124.63028971354166
7520,45.19304388672646,124.63028971354166
7560,40.97119664588938,124.63028971354166
7571,,120.2705078125
7600,43.80973243940922,120.2705078125
7640,41.86302628328949,120.2705078125
7648,,64.47998046875
7680,44.00927658886232,64.47998046875
7720,45.996227337671066,64.47998046875
7732,,68.7099609375
7760,44.15371209912965,68.7099609375
7800,44.51865376813409,68.7099609375
7840,41.83287451576952,
7880,42.4870403343051,
7920,45.05475395469358,
7935,,124.82421875
7960,44.456590981400986,124.82421875
8000,42.41223771542714,124.82421875
8040,47.53001367056431,
8100,47.07959460968893,
8115,,59.622802734375
8140,48.06982866247953,59.622802734375
8180,42.252378541906666,59.622802734375
8220,46.85848195460167,59.622802734375
8260,46.022784286785864,
8300,47.190253719555095,
8307,,58.677978515625
8341,45.56721123301048,58.677978515625
8380,43.03521410412878,
8381,,58.677978515625
8420,43.00583802811269,
8460,47.156047576762205,
8472,,73.1585693359375
8501,51.92504816893424,73.1585693359375
8541,56.41009770776521,73.1585693359375
8580,60.585565297384754,73.1585693359375
8592,,63.01106770833333
8620,62.08532149100087,63.01106770833333
8660,62.943152416700805,63.01106770833333
8700,60.32927710444197,
8741,54.03642973108677,
8752,,217.85416666666669
8780,51.10968827271048,217.85416666666669
8820,46.41354196191888,217.85416666666669
8860,49.16171444832332,217.85416666666669
8870,,130.37109375
8900,49.37228901870695,130.37109375
8940,49.154311896369194,130.37109375
8980,48.6972368702114,
9020,45.89046378771856,
9027,,42.99386160714286
9060,46.390304617293666,42.99386160714286
9100,44.63843141599176,42.99386160714286
9141,42.92759500321955,
9180,45.276010693952884,
9220,43.84229429928894,
9230,,59.599609375
9260,49.73254505213737,59.599609375
9300,56.9860487290711,59.599609375
9360,57.60258444211224,
9400,58.1026575231336,
9406,,479.4970703125
9440,54.5593597455155,479.4970703125
9480,58.32382724229933,479.4970703125
9520,63.349752586518626,479.4970703125
9560,56.95545132365236,
9600,50.35895206230451,
9609,,192.978515625
9610,,192.978515625
9640,50.371190069457334,192.978515625
9680,50.67865418647905,192.978515625
9687,,165.4052734375
9720,56.119162891741055,165.4052734375
9760,59.89794157184622,165.4052734375
9800,60.52032757946065,
9840,60.680967280246776,
9880,62.748796688227884,
9890,,565.169189453125
9920,59.55296629072905,565.169189453125
9960,57.383059760540306,565.169189453125
9973,,294.90397135416663
10000,57.96206444536261,
10001,,294.90397135416663
10040,58.327326940445005,294.90397135416663
10047,,271.4306640625
10080,57.75353506700754,271.4306640625
10120,57.477351664750984,271.4306640625
10160,54.99917563230667,271.4306640625
10200,56.098592600886725,
10240,52.832190825980234,
10254,,119.30060815558863
10280,49.678925875504206,119.30060815558863
10320,52.45625330277346,119.30060815558863
10360,48.23520601044975,
10400,48.79261498754731,
10406,,51.4599609375
10440,48.408801246371695,51.4599609375
10480,46.528688791464305,51.4599609375
10520,42.885237376475146,51.4599609375
10528,,50.615234375
10560,42.14557394220847,50.615234375
10600,40.17520496090782,50.615234375
10661,42.25376067601111,
10700,42.22767623237207,
10711,,121.7919921875
10740,43.06991318657032,121.7919921875
10780,45.04840331655805,121.7919921875
10820,46.43228073937937,121.7919921875
10861,46.35036922076115,
10900,46.80676655297164,
10907,,59.315185546875
10908,,59.315185546875
10940,46.75330025341318,59.315185546875
10980,43.47349043603437,59.315185546875
11020,45.82380721484216,
11061,52.2851414029975,
11071,,472.01171875
11100,53.03035596897396,472.01171875
11140,62.9265520766221,472.01171875
11180,59.9326874440862,472.01171875
11195,,261.6015625
11220,52.60798824629374,261.6015625
11261,55.785417224349246,261.6015625
11300,51.85440589182914,
11340,50.1551953318626,
11350,,146.0980224609375
11380,46.671617203535554,146.0980224609375
11420,49.46025195116064,146.0980224609375
11460,53.9705824763709,146.0980224609375
11500,55.37776758710902,
11540,51.3802659900466,
11549,,346.45166015625
11580,53.93414446765406,346.45166015625
11620,58.50127488440445,346.45166015625
11624,,247.6318359375
11660,60.065657777958776,247.6318359375
11700,58.26885349709962,247.6318359375
11711,,222.335205078125
11740,61.84979185923433,222.335205078125
11780,59.00259856890531,222.335205078125
11820,54.88017235403462,222.335205078125
11845,,206.73549688430063
11846,,206.73549688430063
11860,56.69773556092967,206.73549688430063
11920,59.51075406691814,206.73549688430063
11931,,240.87917751736111
11960,56.67691828889765,240.87917751736111
12000,56.362153340617596,240.87917751736111
12040,58.85868375712357,
12080,59.31884338371971,
12120,59.89181157852691,
12129,,516.796875
12160,60.8504655060394,516.796875
12200,58.22708804387534,516.796875
12210,,291.95835658482144
12240,62.448108452799374,291.95835658482144
12280,59.930838521977385,291.95835658482144
12320,51.73610674394216,
12360,57.15326270946851,
12371,,481.23046875
12400,54.97742167021157,481.23046875
12440,48.469360122865844,481.23046875
12480,51.1816995119929,481.23046875
12520,50.071471349612686,
12560,52.76192322800536,
12570,,365.4282924107143
12600,57.70270706257168,365.4282924107143
12640,60.024560549939075,365.4282924107143
12651,,515.65771484375
12680,60.5820125170838,515.65771484375
12720,60.307283255673724,515.65771484375
12760,59.34473055128958,515.65771484375
12800,59.785839726947245,
12840,60.38347729380328,
12848,,154.886474609375
12880,60.116964994614534,154.886474609375
12920,58.80797448159918,154.886474609375
12960,58.62576802211684,
13000,58.23780464080791,
13011,,153.93310546875
13040,57.88440640686409,153.93310546875
13080,56.69357022449481,153.93310546875
13120,51.0612827791777,153.93310546875
13130,,156.56629774305554
13160,47.988674056871034,
13161,,156.56629774305554
13220,54.49391719840869,156.56629774305554
13227,,88.720703125
13260,52.732918393466235,88.720703125
13300,49.59968247904485,88.720703125
13340,49.94155869134068,
13380,56.875853384445236,
13420,55.06593801111496,
13432,,52.8955078125
13460,52.16639401386442,52.8955078125
13500,50.744944217539675,52.8955078125
13540,49.90947729516186,
13581,43.29627604453037,
13590,,42.24609375
13620,47.551882193762694,42.24609375
13660,54.01964744268781,42.24609375
13700,58.97638566037905,
13740,57.503111656500074,
13780,57.95368341267035,
13789,,194.267578125
13820,56.015169917267514,194.267578125
13860,45.515026790703565,194.267578125
13900,43.21774016254781,
13940,49.11418027641539,
13945,,57.79296875
13946,,57.79296875
13980,61.454573054377384,57.79296875
14020,60.733020456698114,
14021,,57.79296875
14060,55.330349324859355,57.79296875
14100,55.01198945261904,
14140,54.43015852782509,
14151,,328.4104483468192
14181,52.70329161695743,328.4104483468192
14220,53.651592585891954,328.4104483468192
14260,54.92749773731036,
14300,54.26687014382138,
14312,,384.8828125
14340,58.86704324660399,384.8828125
14380,51.15713737571611,384.8828125
14420,51.092789573665584,384.8828125
14430,,307.25498744419644
14480,49.797742620349574,307.25498744419644
14520,48.463187351199394,307.25498744419644
14560,47.43635664440205,
14600,58.825033426106714,
14608,,158.5225859142485
14640,62.86597017079571,158.5225859142485
14680,51.50739687287995,158.5225859142485
14720,46.14932526200665,158.5225859142485
14730,,157.53154296875
14760,47.77746516054528,157.53154296875
14800,57.14597773362489,157.53154296875
